Exigence, description (Quoi?),description (Comment?),taches  (Comment?),détails (comment),Présentation,Traitements,Données,Messages,charge codage,priorité (itération),Estimated Duration (hours)
Ajouter une annonce  de location,En tant que administrateur la solution doit permettre d’ajouter une nouvelle annonce à partir d’un formulaire,"1-se connecter sur l'espace admin
2-cliquer sur le lien de menu gestion des annonces
3-visualiser la liste des annonces 
4-cliquer sur le bouton ajouter
5-remplir le formulaire 
6-voir le message de succès et actualisation liste annonces","- Création du'un lien de Menu ""gestion des annonces ""
- Création d’un formulaire d’ajout (View)
- Création de la partie backend  (Controlleur + Modèle)        ", - Création d’une page (composant) contenant un form d’ajout         - Création d’une action coté backend permettant de traiter la requête post envoyée par le form d’ajout (API Controlleur + Document / Entity) ,0.5,0.5,0.5,0,1.5,1,20
Liste des annonces ,En tant que administrateur la solution doit permettre de visualiser la liste de annonces  + pagination + filtres,...,"- Création d'une page pour lister les annonces                                                                                - Formulaire de filtres (type d'annonce , ...) + pagination               ","- Création d'une page pour lister les annonces de ventes /locations                                                                                               - Formulaire de filtres (type d'annonce , ...) + pagination                                    - Coté Backend : création d'un service web (API) donnant la liste des annonces selon le filtre ",1,1,0,0,2,1,25
,,,,,,,,,,,30
,,,,,,,,,,,15
,,,,,,,,,,,10
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
,,,,,,,,,,,0
Exigence, description (Quoi?),description (Comment?),taches  (Comment?),détails (comment),Présentation,Traitements,Données,Messages,charge codage,priorité (itération),0
S’inscrire,En tant que visiteur je peux s'inscrire,"1-Accéder à la page d'inscription
2-Remplir le formulaire d'inscription
3-Valider le formulaire
4-Confirmation de l'inscription
5-Connexion au compte","Création de la page d'inscription

Développement du formulaire d'inscription

Validation des données du formulaire

Envoi de la confirmation d'inscription

Redirection vers la connexion au compte",,1,1,1,0.5,3.5,1,0
se connecter,En tant que client je peux connecter,"1-Accéder à la page de connexion
2-Saisir les identifiants
3-Cliquer sur ""Connexion""
4-Vérification des identifiants( Si les identifiants sont incorrects, un message d'erreur s'affiche, invitant l'utilisateur à réessayer ou à utiliser l'option ""Mot de passe oublié"".)
5-Accès à l'espace personnel","Création de la page de connexion

Mise en place du formulaire pour saisir les identifiants

Validation des identifiants

Gestion des erreurs et affichage du message d'erreur en cas d'identifiants incorrects

Redirection vers l'espace personnel après connexion réussie",,1,1,1,0.5,3.5,1,0
Contactez nous ,"En tant que visiteur ou client, je peux contacte l'entreprise","
1. Accès à la section ""Contactez-nous""
2. Sélection du type de demande (question, problème, suggestions)
3. Remplissage du formulaire de contact
4. Soumission du formulaire
5. Confirmation de la soumission
6. Réception de la réponse de l'équipe de support
7. Suivi de la demande (si nécessaire)
8. Déconnexion ou retour à l'accueil","Création de la section ""Contactez-nous""

Mise en place du formulaire de contact

Ajout de la sélection du type de demande

Confirmation de soumission et réponse automatique

Suivi de la demande et gestion des réponses",,1,0.5,0.5,1,2,1,0
Ajoute annonces de location,"En tant que admin ,je peux ajouter des annonces de location","
1. Connexion de l'utilisateur
2. Accès à la section ""Ajouter une annonce de location""
3. Remplissage du formulaire d'annonce (titre, description, loyer, etc.)
4. Téléchargement des photos de l'appartement
5. Sélection des caractéristiques (nombre de chambres, superficie, équipements, etc.)
6. Vérification des informations saisies
7. Soumission de l'annonce
8. Confirmation de la publication de l'annonce
","
- Implémentation de la connexion utilisateur
- Création de la section ""Ajouter une annonce de location""
- Développement du formulaire d'annonce (titre, description, loyer, etc.)
- Intégration de la fonctionnalité de téléchargement de photos
- Ajout des champs pour les caractéristiques (chambres, superficie, équipements)
- Validation des informations saisies
- Enregistrement de l'annonce dans la base de données
- Confirmation et affichage du message de publication",,1,1,1,0.5,3.5,1,0
